Player,Team,Position,Cap Hit,pv
Nicholas Robertson,Toronto Maple Leafs,F,"$1,825,000",1.825
Justin Danforth,Buffalo Sabres,F,"$1,800,000",1.8
Kent Johnson,Columbus Blue Jackets,F,"$1,800,000",1.8
Teddy Blueger,Vancouver Canucks,F,"$1,800,000",1.8
Carl Grundstrom,Philadelphia Flyers,F,"$1,800,000",1.8
Nicolas Deslauriers,Carolina Hurricanes,F,"$1,750,000",1.75
Nick Bjugstad,New Jersey Devils,F,"$1,750,000",1.75
Tony DeAngelo,New York Islanders,D,"$1,750,000",1.75
Joel Hanley,Calgary Flames,D,"$1,750,000",1.75
Jake Bean,Calgary Flames,D,"$1,750,000",1.75
Jack Drury,Colorado Avalanche,F,"$1,725,000",1.725
Alexei Toropchenko,St Louis Blues,F,"$1,700,000",1.7
Wyatt Kaiser,Chicago Blackhawks,D,"$1,700,000",1.7
Eric Robinson,Carolina Hurricanes,F,"$1,700,000",1.7
Declan Chisholm,Washington Capitals,D,"$1,600,000",1.6
Tyler Kleven,Ottawa Senators,D,"$1,600,000",1.6
Victor Olofsson,Calgary Flames,F,"$1,575,000",1.575
Mark Kastelic,Boston Bruins,F,"$1,566,667",1.567
Urho Vaakanainen,New York Rangers,D,"$1,550,000",1.55
Pontus Holmberg,Tampa Bay Lightning,F,"$1,550,000",1.55
Jesper Boqvist,Florida Panthers,F,"$1,500,000",1.5
Kiefer Sherwood,San Jose Sharks,F,"$1,500,000",1.5
Justin Brazeau,Pittsburgh Penguins,F,"$1,500,000",1.5
Bobby Brink,Minnesota Wild,F,"$1,500,000",1.5
Jordan Spence,Ottawa Senators,D,"$1,500,000",1.5
Colin Miller,Winnipeg Jets,D,"$1,500,000",1.5
Oskar Sundqvist,St Louis Blues,F,"$1,500,000",1.5
Jack Roslovic,Edmonton Oilers,F,"$1,500,000",1.5
Taylor Raddysh,New York Rangers,F,"$1,500,000",1.5
Mattias Janmark,Edmonton Oilers,F,"$1,450,000",1.45
Michael Eyssimont,Boston Bruins,F,"$1,450,000",1.45
Peyton Krebs,Buffalo Sabres,F,"$1,450,000",1.45
Jayden Struble,Montreal Canadiens,D,"$1,412,500",1.413
Michael Kesselring,Buffalo Sabres,D,"$1,400,000",1.4
Sam Malinski,Colorado Avalanche,D,"$1,400,000",1.4
Simon Benoit,Toronto Maple Leafs,D,"$1,350,000",1.35
Bobby McMann,Seattle Kraken,F,"$1,350,000",1.35
Ryan Reaves,San Jose Sharks,F,"$1,350,000",1.35
Steven Lorentz,Toronto Maple Leafs,F,"$1,350,000",1.35
Beck Malenstyn,Buffalo Sabres,F,"$1,350,000",1.35
Kasperi Kapanen,Edmonton Oilers,F,"$1,300,000",1.3
Ty Dellandrea,San Jose Sharks,F,"$1,300,000",1.3
Isac Lundestrom,Columbus Blue Jackets,F,"$1,300,000",1.3
Ty Emberson,Edmonton Oilers,D,"$1,300,000",1.3
Arber Xhekaj,Montreal Canadiens,D,"$1,300,000",1.3
Nils Lundkvist,Dallas Stars,D,"$1,250,000",1.25
Joel Kiviranta,Colorado Avalanche,F,"$1,250,000",1.25
Juuso Parssinen,New York Rangers,F,"$1,250,000",1.25
Tye Kartye,New York Rangers,F,"$1,250,000",1.25
Adam Klapka,Calgary Flames,F,"$1,250,000",1.25
Zach Bogosian,Minnesota Wild,D,"$1,250,000",1.25
Lars Eller,Ottawa Senators,F,"$1,250,000",1.25
Logan Stanley,Buffalo Sabres,D,"$1,250,000",1.25
Philipp Kurashev,San Jose Sharks,F,"$1,200,000",1.2
Gage Goncalves,Tampa Bay Lightning,F,"$1,200,000",1.2
Brayden Pachal,Calgary Flames,D,"$1,187,500",1.188
Justin Barron,Nashville Predators,D,"$1,150,000",1.15
Dmitry Kulikov,Florida Panthers,D,"$1,150,000",1.15
Kurtis MacDermid,Ottawa Senators,F,"$1,150,000",1.15
Albert Johansson,Detroit Red Wings,D,"$1,125,000",1.125
Elmer Soderblom,Pittsburgh Penguins,F,"$1,125,000",1.125
Connor Dewar,Pittsburgh Penguins,F,"$1,100,000",1.1
Drew Helleson,Anaheim Ducks,D,"$1,100,000",1.1
Emil Heineman,New York Islanders,F,"$1,100,000",1.1
Mike Reilly,Carolina Hurricanes,D,"$1,100,000",1.1
Ross Johnston,Anaheim Ducks,F,"$1,100,000",1.1
David Kampf,Washington Capitals,F,"$1,100,000",1.1
Brent Burns,Colorado Avalanche,D,"$1,000,000",1.0
Jamie Benn,Dallas Stars,F,"$1,000,000",1.0
James van Riemsdyk,Detroit Red Wings,F,"$1,000,000",1.0
Evgenii Dadonov,New Jersey Devils,F,"$1,000,000",1.0
Sam Carrick,Buffalo Sabres,F,"$1,000,000",1.0
Travis Hamonic,Detroit Red Wings,D,"$1,000,000",1.0
Tanner Pearson,Buffalo Sabres,F,"$1,000,000",1.0
Matt Grzelcyk,Chicago Blackhawks,D,"$1,000,000",1.0
Liam O'Brien,Utah Mammoth,F,"$1,000,000",1.0
Parker Wotherspoon,Pittsburgh Penguins,D,"$1,000,000",1.0
Alexandre Texier,Montreal Canadiens,F,"$1,000,000",1.0
Martin Pospisil,Calgary Flames,F,"$1,000,000",1.0
Cole Koepke,Winnipeg Jets,F,"$1,000,000",1.0
Yegor Zamula,Columbus Blue Jackets,D,"$1,000,000",1.0
Vasily Podkolzin,Edmonton Oilers,F,"$1,000,000",1.0
Cole Smith,Vegas Golden Knights,F,"$1,000,000",1.0
Shakir Mukhamadullin,San Jose Sharks,D,"$1,000,000",1.0
Jake Christiansen,Columbus Blue Jackets,D,"$975,000",0.975
Adam Edstrom,New York Rangers,F,"$975,000",0.975
Matt Rempe,New York Rangers,F,"$975,000",0.975
Macklin Celebrini,San Jose Sharks,F,"$975,000",0.975
Artyom Levshunov,Chicago Blackhawks,D,"$975,000",0.975
Matthew Schaefer,New York Islanders,D,"$975,000",0.975
Michael Misa,San Jose Sharks,F,"$975,000",0.975
Josh Samanski,Edmonton Oilers,F,"$975,000",0.975
Benjamin Kindel,Pittsburgh Penguins,F,"$975,000",0.975
Maxim Shabanov,New York Islanders,F,"$975,000",0.975
Ben Hutton,Vegas Golden Knights,D,"$975,000",0.975
Darren Raddysh,Tampa Bay Lightning,D,"$975,000",0.975
Zeev Buium,Vancouver Canucks,D,"$966,667",0.967
Mavrik Bourque,Dallas Stars,F,"$950,000",0.95
Logan Cooley,Utah Mammoth,F,"$950,000",0.95
Cutter Gauthier,Anaheim Ducks,F,"$950,000",0.95
Frank Nazar,Chicago Blackhawks,F,"$950,000",0.95
Ivan Miroshnichenko,Washington Capitals,F,"$950,000",0.95
Jimmy Snuggerud,St Louis Blues,F,"$950,000",0.95
Danila Yurov,Minnesota Wild,F,"$950,000",0.95
Ryan Greene,Chicago Blackhawks,F,"$950,000",0.95
Lane Hutson,Montreal Canadiens,D,"$950,000",0.95
Stephen Halliday,Ottawa Senators,F,"$950,000",0.95
Alex Bump,Philadelphia Flyers,F,"$950,000",0.95
Zach Benson,Buffalo Sabres,F,"$950,000",0.95
Connor Bedard,Chicago Blackhawks,F,"$950,000",0.95
Hunter Brzustewicz,Calgary Flames,D,"$950,000",0.95
Leo Carlsson,Anaheim Ducks,F,"$950,000",0.95
Adam Fantilli,Columbus Blue Jackets,F,"$950,000",0.95
Will Smith,San Jose Sharks,F,"$950,000",0.95
Matvei Michkov,Philadelphia Flyers,F,"$950,000",0.95
Ryan Leonard,Washington Capitals,F,"$950,000",0.95
Tom Willander,Vancouver Canucks,D,"$950,000",0.95
Matthew Wood,Nashville Predators,F,"$950,000",0.95
Gavin Brindley,Colorado Avalanche,F,"$950,000",0.95
Lenni Hämeenaho,New Jersey Devils,F,"$950,000",0.95
Haydn Fleury,Winnipeg Jets,D,"$950,000",0.95
Beckett Sennecke,Anaheim Ducks,F,"$942,500",0.943
Zayne Parekh,Calgary Flames,D,"$942,500",0.943
Sam Dickinson,San Jose Sharks,D,"$942,500",0.943
Berkly Catton,Seattle Kraken,F,"$942,500",0.943
Michael Brandsegg-Nygård,Detroit Red Wings,F,"$942,500",0.943
Matvei Gridin,Calgary Flames,F,"$942,500",0.943
Sam Rinzel,Chicago Blackhawks,D,"$941,667",0.942
Oliver Moore,Chicago Blackhawks,F,"$941,667",0.942
Gabe Perreault,New York Rangers,F,"$941,667",0.942
Collin Graf,San Jose Sharks,F,"$941,667",0.942
Ivan Demidov,Montreal Canadiens,F,"$940,833",0.941
Tyler Tucker,St Louis Blues,D,"$925,000",0.925
Jackson LaCombe,Anaheim Ducks,D,"$925,000",0.925
Arseny Gritsyuk,New Jersey Devils,F,"$925,000",0.925
Marat Khusnutdinov,Boston Bruins,F,"$925,000",0.925
Ian Moore,Anaheim Ducks,D,"$925,000",0.925
Alexander Nikishin,Carolina Hurricanes,D,"$925,000",0.925
Fyodor Svechkov,Nashville Predators,F,"$925,000",0.925
Josh Doan,Buffalo Sabres,F,"$925,000",0.925
Oliver Kapanen,Montreal Canadiens,F,"$925,000",0.925
Ryan Ufko,Nashville Predators,D,"$925,000",0.925
Pavel Mintyukov,Anaheim Ducks,D,"$918,333",0.918
Simon Nemec,New Jersey Devils,D,"$918,333",0.918
Lian Bichsel,Dallas Stars,D,"$918,333",0.918
Calum Ritchie,New York Islanders,F,"$918,333",0.918
Axel Sandin Pellikka,Detroit Red Wings,D,"$918,333",0.918
Dominic James,Tampa Bay Lightning,F,"$910,000",0.91
Josh Mahura,Seattle Kraken,D,"$907,500",0.907
Jackson Blake,Carolina Hurricanes,F,"$905,833",0.906
Emil Andrae,Philadelphia Flyers,D,"$903,333",0.903
Jacob Bryson,Winnipeg Jets,D,"$900,000",0.9
Joseph Veleno,Montreal Canadiens,F,"$900,000",0.9
John Beecher,Calgary Flames,F,"$900,000",0.9
Landon Slaggert,Chicago Blackhawks,F,"$900,000",0.9
Louis Crevier,Chicago Blackhawks,D,"$900,000",0.9
Marc Gatcomb,New York Islanders,F,"$900,000",0.9
Michael McCarron,Minnesota Wild,F,"$900,000",0.9
Noah Juulsen,Philadelphia Flyers,D,"$900,000",0.9
Caleb Jones,Pittsburgh Penguins,D,"$900,000",0.9
Mathieu Joseph,Los Angeles Kings,F,"$900,000",0.9
Ryan Shea,Pittsburgh Penguins,D,"$900,000",0.9
Simon Edvinsson,Detroit Red Wings,D,"$894,167",0.894
Isak Rosén,Winnipeg Jets,F,"$894,167",0.894
Cale Fleury,Seattle Kraken,D,"$890,000",0.89
Conor Geekie,Tampa Bay Lightning,F,"$886,666",0.887
Matthew Savoie,Edmonton Oilers,F,"$886,666",0.887
Denton Mateychuk,Columbus Blue Jackets,D,"$886,666",0.887
Reid Schaefer,Nashville Predators,F,"$886,666",0.887
Shane Wright,Seattle Kraken,F,"$886,666",0.887
Marco Kasper,Detroit Red Wings,F,"$886,666",0.887
Noah Östlund,Buffalo Sabres,F,"$886,666",0.887
Joakim Kemell,Nashville Predators,F,"$886,666",0.887
Liam Öhgren,Vancouver Canucks,F,"$886,666",0.887
Jiri Kulich,Buffalo Sabres,F,"$886,666",0.887
Brad Lambert,Winnipeg Jets,F,"$886,666",0.887
Samuel Honzek,Calgary Flames,F,"$886,666",0.887
Dalibor Dvorský,St Louis Blues,F,"$886,666",0.887
Jacob Bernard-Docker,Detroit Red Wings,D,"$875,000",0.875
Logan Mailloux,St Louis Blues,D,"$875,000",0.875
Nikita Grebenkin,Philadelphia Flyers,F,"$875,000",0.875
Nikolas Matinpalo,Ottawa Senators,D,"$875,000",0.875
Jacob Quillan,Toronto Maple Leafs,F,"$875,000",0.875
Easton Cowan,Toronto Maple Leafs,F,"$873,500",0.874
Noah Laba,New York Rangers,F,"$870,000",0.87
Victor Mancini,Vancouver Canucks,D,"$870,000",0.87
Justin Hryckowian,Dallas Stars,F,"$870,000",0.87
Arttu Hyry,Dallas Stars,F,"$870,000",0.87
Jaroslav Chmelar,New York Rangers,F,"$867,500",0.868
Zakhar Bardakov,Colorado Avalanche,F,"$867,500",0.868
Jared Wright,Los Angeles Kings,F,"$867,500",0.868
Nick Lardis,Chicago Blackhawks,F,"$865,000",0.865
Brandt Clarke,Los Angeles Kings,D,"$863,334",0.863
Zachary L'Heureux,Nashville Predators,F,"$863,334",0.863
Zack Bolduc,Montreal Canadiens,F,"$863,334",0.863
William Eklund,San Jose Sharks,F,"$863,333",0.863
Denver Barkey,Philadelphia Flyers,F,"$863,333",0.863
Ethan Del Mastro,Chicago Blackhawks,D,"$855,833",0.856
Adam Boqvist,New York Islanders,D,"$850,000",0.85
Hendrix Lapierre,Washington Capitals,F,"$850,000",0.85
Alex Steeves,Boston Bruins,F,"$850,000",0.85
Uvis Balinskis,Florida Panthers,D,"$850,000",0.85
Zemgus Girgensons,Tampa Bay Lightning,F,"$850,000",0.85
A.J. Greer,Florida Panthers,F,"$850,000",0.85
Philippe Myers,Toronto Maple Leafs,D,"$850,000",0.85
Olen Zellweger,Anaheim Ducks,D,"$844,167",0.844
Elias Pettersson,Vancouver Canucks,D,"$838,333",0.838
Braeden Bowman,Vegas Golden Knights,F,"$837,500",0.838
Avery Hayes,Pittsburgh Penguins,F,"$830,000",0.83
Ryan Winterton,Seattle Kraken,F,"$828,333",0.828
Jacob Melanson,Seattle Kraken,F,"$826,111",0.826
Jordan Harris,Boston Bruins,D,"$825,000",0.825
Oskar Back,Dallas Stars,F,"$825,000",0.825
Spencer Stastney,Edmonton Oilers,D,"$825,000",0.825
Parker Kelly,Colorado Avalanche,F,"$825,000",0.825
Kaedan Korczak,Vegas Golden Knights,D,"$825,000",0.825
Cole Schwindt,Florida Panthers,F,"$825,000",0.825
Justin Sourdif,Washington Capitals,F,"$825,000",0.825
Colton Dach,Edmonton Oilers,F,"$825,000",0.825
Zack Ostapchuk,San Jose Sharks,F,"$825,000",0.825
Nick Cousins,Ottawa Senators,F,"$825,000",0.825
Emmitt Finnie,Detroit Red Wings,F,"$821,667",0.822
Fraser Minten,Boston Bruins,F,"$816,666",0.817
Elias Salomonsson,Winnipeg Jets,D,"$815,000",0.815
Logan Stankoven,Carolina Hurricanes,F,"$814,167",0.814
Vincent Iorio,New York Rangers,D,"$814,167",0.814
Yan Kuznetsov,Calgary Flames,D,"$812,500",0.812
Cole Reinhardt,Florida Panthers,F,"$812,500",0.812
Tim Washe,Anaheim Ducks,F,"$812,500",0.812
Ville Koivunen,Pittsburgh Penguins,F,"$805,833",0.806
Samuel Helenius,Los Angeles Kings,F,"$805,833",0.806
Nick DeSimone,Utah Mammoth,D,"$800,000",0.8
Ville Heinola,Winnipeg Jets,D,"$800,000",0.8
Matthew Kessel,St Louis Blues,D,"$800,000",0.8
Emil Lilleberg,Tampa Bay Lightning,D,"$800,000",0.8
Marcus Johansson,Minnesota Wild,F,"$800,000",0.8
Dylan McIlrath,Washington Capitals,D,"$800,000",0.8
Brendan Smith,Columbus Blue Jackets,D,"$800,000",0.8
Mark Jankowski,Carolina Hurricanes,F,"$800,000",0.8
Rodrigo Abols,Philadelphia Flyers,F,"$800,000",0.8
Jonny Brodzinski,New York Rangers,F,"$787,500",0.787
Jansen Harkins,Anaheim Ducks,F,"$787,500",0.787
Troy Stecher,Toronto Maple Leafs,D,"$787,500",0.787
Jeff Petry,Minnesota Wild,D,"$775,000",0.775
Alexander Petrovic,Dallas Stars,D,"$775,000",0.775
Vinnie Hinostroza,Florida Panthers,F,"$775,000",0.775
Adam Erne,Dallas Stars,F,"$775,000",0.775
Curtis Lazar,Edmonton Oilers,F,"$775,000",0.775
Luke Glendening,Philadelphia Flyers,F,"$775,000",0.775
Scott Sabourin,Tampa Bay Lightning,F,"$775,000",0.775
Nathan Walker,St Louis Blues,F,"$775,000",0.775
Tomas Nosek,Florida Panthers,F,"$775,000",0.775
Robby Fabbri,Minnesota Wild,F,"$775,000",0.775
Conor Sheary,New York Rangers,F,"$775,000",0.775
Kyle Capobianco,Dallas Stars,D,"$775,000",0.775
Tyson Jost,Nashville Predators,F,"$775,000",0.775
Luke Kunin,Florida Panthers,F,"$775,000",0.775
Dennis Cholowski,New Jersey Devils,D,"$775,000",0.775
Nathan Bastian,Dallas Stars,F,"$775,000",0.775
Jacob Moverare,Los Angeles Kings,D,"$775,000",0.775
Michael Carcone,Utah Mammoth,F,"$775,000",0.775
Zack MacEwen,New Jersey Devils,F,"$775,000",0.775
Kailer Yamamoto,Utah Mammoth,F,"$775,000",0.775
Pierre-Olivier Joseph,Vancouver Canucks,D,"$775,000",0.775
Jonah Gadjovich,Florida Panthers,F,"$775,000",0.775
Jonas Rondbjerg,Vegas Golden Knights,F,"$775,000",0.775
Dominik Shine,Detroit Red Wings,F,"$775,000",0.775
Filip Hallander,Pittsburgh Penguins,F,"$775,000",0.775
Linus Karlsson,Vancouver Canucks,F,"$775,000",0.775
Curtis Douglas,Vancouver Canucks,F,"$775,000",0.775
Jack St. Ivany,Pittsburgh Penguins,D,"$775,000",0.775
Paul Cotter,New Jersey Devils,F,"$775,000",0.775
John Leonard,Detroit Red Wings,F,"$775,000",0.775
Colin Blackwell,Dallas Stars,F,"$775,000",0.775
Kyle MacLean,New York Islanders,F,"$775,000",0.775
Jonathan Aspirot,Boston Bruins,D,"$775,000",0.775
Jeffrey Viel,Anaheim Ducks,F,"$775,000",0.775
Alex Turcotte,Los Angeles Kings,F,"$775,000",0.775
Matthew Robertson,New York Rangers,D,"$775,000",0.775
Maxwell Crozier,Tampa Bay Lightning,D,"$775,000",0.775
Charle-Edouard D'Astous,Tampa Bay Lightning,D,"$775,000",0.775
Brendan Brisson,New York Rangers,F,"$775,000",0.775
Ozzy Wiesblatt,Nashville Predators,F,"$775,000",0.775
Jack Finley,St Louis Blues,F,"$775,000",0.775
Donovan Sebrango,Florida Panthers,D,"$775,000",0.775
Daemon Hunt,Minnesota Wild,D,"$775,000",0.775
Adam Wilsby,Nashville Predators,D,"$775,000",0.775
Ilya Solovyov,Pittsburgh Penguins,D,"$775,000",0.775
Joshua Dunne,Buffalo Sabres,F,"$775,000",0.775
Jeff Malott,Los Angeles Kings,F,"$775,000",0.775
Mackie Samoskevich,Florida Panthers,F,"$775,000",0.775
Aatu Räty,Vancouver Canucks,F,"$775,000",0.775
Tyson Kozak,Buffalo Sabres,F,"$775,000",0.775
Declan Carlile,Tampa Bay Lightning,D,"$775,000",0.775
Taylor Ward,Los Angeles Kings,F,"$775,000",0.775
Nick Blankenburg,Colorado Avalanche,D,"$775,000",0.775
Ben Meyers,Seattle Kraken,F,"$775,000",0.775
Pavol Regenda,San Jose Sharks,F,"$775,000",0.775
Ethen Frank,Washington Capitals,F,"$775,000",0.775
Max Sasson,Vancouver Canucks,F,"$775,000",0.775
Zach Metsa,Buffalo Sabres,D,"$775,000",0.775
